날짜,년도,월,전월대비 등락률,등락률(%),등락률label,외국인순매수,기관순매수,개인순매수,시가총액대비,동행지수,100기준동행지수,동행지수등락률,동행등락label
2005-01-31,2005,1,0.0410527725689794,4.10527725689794,1,8538,984,-9523,42.9,99.0,0,-0.1,0
2005-02-28,2005,2,0.0843357693953488,8.43357693953488,1,14654,-8928,-5725,42.7,98.7,0,-0.30303030303030015,0
2005-03-31,2005,3,-0.0451668973831333,-4.51668973831333,0,-20741,16920,3820,42.2,98.8,0,0.10131712259371257,1
2005-04-29,2005,4,-0.0563126556367106,-5.63126556367106,0,-3243,955,2291,41.9,98.6,0,-0.2024291497975737,0
2005-05-31,2005,5,0.0646439536582884,6.46439536582884,1,1048,17254,-18304,41.7,98.7,0,0.10141987829615469,1
2005-06-30,2005,6,0.0391151918784699,3.91151918784699,1,450,14126,-14577,41.5,98.6,0,-0.10131712259372698,0
2005-07-29,2005,7,0.1022953387013549,10.22953387013549,1,16160,3011,-19173,41.9,98.7,0,0.10141987829615469,1
2005-08-31,2005,8,-0.0251600230587867,-2.5160023058786702,0,-10990,13974,-2986,41.9,98.7,0,0.0,1
2005-09-30,2005,9,0.1270896765490968,12.70896765490968,1,-8341,17440,-9101,41.4,98.7,0,0.0,1
2005-10-31,2005,10,-0.0515147491920531,-5.15147491920531,0,-26613,18492,7244,40.8,98.7,0,0.0,1
2005-11-30,2005,11,0.1203080517541619,12.030805175416187,1,134,18131,-18263,40.3,99.1,0,0.40526849037486473,1
2005-12-29,2005,12,0.0631474730322672,6.31474730322672,1,-13293,16809,-3516,39.8,99.4,0,0.30272452068618705,1
2006-01-31,2006,1,0.0148328302122896,1.48328302122896,1,14959,-3596,-17846,40.8,99.8,0,0.40241448692152054,1
2006-02-28,2006,2,-0.0201738719136767,-2.01738719136767,0,-5345,8520,-3174,40.1,99.7,0,-0.10020040080159752,0
2006-03-31,2006,3,-0.0087416724627349,-0.87416724627349,0,-5364,9254,-3890,40.3,99.9,0,0.2006018054162516,1
2006-04-28,2006,4,0.0442262473981721,4.42262473981721,1,2614,5753,-10409,39.9,99.9,0,0.0,1
2006-05-30,2006,5,-0.0718657989198677,-7.186579891986771,0,-28719,24132,11266,39.7,100.1,1,0.2002002002001888,1
2006-06-30,2006,6,-0.0171130967545062,-1.7113096754506198,0,-26621,23708,2914,39.4,100.0,1,-0.09990009990009421,0
2006-07-31,2006,7,0.0020614769136169,0.20614769136169,1,-15818,15462,355,39.1,99.3,0,-0.7000000000000028,0
2006-08-31,2006,8,0.0423171520073711,4.23171520073711,1,-24589,31567,-6981,38.1,99.3,0,0.0,1
2006-09-29,2006,9,0.0138016500436848,1.38016500436848,1,-15586,19578,-3994,37.7,99.5,0,0.20140986908358796,1
2006-10-31,2006,10,-0.0050021402648302,-0.5002140264830199,0,-6491,11450,-217,37.5,100.5,1,1.0050251256281406,1
2006-11-30,2006,11,0.0495840457940559,4.95840457940559,1,-16058,12492,3564,37.1,100.8,1,0.29850746268656436,1
2006-12-28,2006,12,0.0015709987092445,0.15709987092445,1,2377,-10039,-95,37.2,101.0,1,0.19841269841270123,1
2007-01-31,2007,1,-0.0517476837905162,-5.17476837905162,0,591,-8134,7542,39.9,100.8,1,-0.19801980198020083,0
2007-02-28,2007,2,0.041985536395751,4.1985536395751,1,12392,-3835,-8558,40.2,101.0,1,0.19841269841270123,1
2007-03-30,2007,3,0.0248423694081285,2.48423694081285,1,-10795,7150,3644,39.9,101.2,1,0.19801980198020083,1
2007-04-30,2007,4,0.061746541180188,6.1746541180188,1,27133,-27248,111,39.6,101.4,1,0.19762845849802652,1
2007-05-31,2007,5,0.1028828489405201,10.28828489405201,1,1736,-9109,7377,38.3,101.4,1,0.0,1
