,개인,외국인,기관
2022-04-25,"10,221 ","-6,542 ","-3,825 "
2022-04-22,"8,362 ","-1,556 ","-6,975 "
2022-04-21,"-5,667 ",-597 ,"6,366 "
2022-04-20,738 ,948 ,"-1,612 "
2022-04-19,"-3,431 ",331 ,"3,364 "
2022-04-18,"1,020 ",-947 ,-188 
2022-04-15,"7,486 ","-3,181 ","-4,426 "
2022-04-14,898 ,"-2,528 ","1,547 "
2022-04-13,"-5,842 ",-649 ,"6,393 "
2022-04-12,"5,614 ","-4,657 ","-1,203 "
2022-04-11,"1,259 ","-1,343 ",18 
2022-04-08,"4,234 ","-4,544 ",98 
2022-04-07,"12,799 ","-7,683 ","-5,203 "
2022-04-06,"11,402 ","-5,836 ","-5,658 "
2022-04-05,"2,382 ",144 ,"-2,478 "
2022-04-04,-26 ,223 ,136 
2022-04-01,"8,460 ",-681 ,"-7,830 "
2022-03-31,-128 ,"-1,743 ","1,887 "
2022-03-30,"-1,380 ",-96 ,"1,593 "
2022-03-29,-85 ,"-2,799 ","3,266 "
2022-03-28,"1,921 ","-2,628 ",676 
2022-03-25,"6,634 ","-5,517 ","-1,278 "
2022-03-24,"5,091 ","10,162 ","-15,859 "
2022-03-23,"-2,985 ",572 ,"2,355 "
2022-03-22,"-1,855 ","2,198 ",-323 
2022-03-21,"8,060 ","-4,898 ","-3,346 "
2022-03-18,"1,353 ","-1,021 ",-143 
2022-03-17,"-6,954 ","4,639 ","2,504 "
2022-03-16,"-2,363 ","-1,341 ","3,656 "
2022-03-15,"5,986 ","-6,753 ",478 
2022-03-14,"6,250 ","-6,399 ",55 
2022-03-11,"10,294 ","-6,861 ","-3,710 "
2022-03-10,"-3,525 ","-4,270 ","7,645 "
2022-03-08,"7,320 ","-4,736 ","-2,914 "
2022-03-07,"21,153 ","-11,815 ","-9,598 "
2022-03-04,"9,868 ","-5,869 ","-4,256 "
2022-03-03,"-3,912 ","1,331 ","2,591 "
2022-03-02,"4,264 ","-3,064 ","-1,322 "
2022-02-28,"2,908 ",966 ,"-3,801 "
2022-02-25,-852 ,"-1,230 ","1,942 "
2022-02-24,"10,998 ","-6,669 ","-4,826 "
2022-02-23,634 ,"-2,667 ","1,896 "
2022-02-22,"6,714 ","-3,266 ","-3,823 "
2022-02-21,"1,016 ",-634 ,-896 
2022-02-18,422 ,"-1,514 ","1,040 "
2022-02-17,"-10,983 ","6,493 ","4,345 "
2022-02-16,"-2,080 ",-445 ,"2,254 "
2022-02-15,"1,705 ","-2,192 ",342 
2022-02-14,"-1,893 ",667 ,961 
2022-02-11,706 ,"6,103 ","-6,953 "
2022-02-10,"-3,068 ","8,345 ","-5,419 "
2022-02-09,"-4,601 ","2,396 ","1,970 "
2022-02-08,456 ,-961 ,394 
2022-02-07,"8,109 ",-69 ,"-8,325 "
2022-02-04,"-4,149 ","1,904 ","2,144 "
2022-02-03,"-1,339 ",838 ,497 
2022-01-28,"2,735 ","-7,010 ","3,923 "
2022-01-27,"-1,393 ","-17,056 ","18,478 "
2022-01-26,"2,218 ","-2,417 ",-158 
2022-01-25,"5,733 ","-4,310 ","-1,681 "
2022-01-24,"-1,377 ","-4,362 ","5,936 "
2022-01-21,"8,958 ","-2,205 ","-6,434 "
2022-01-20,"1,461 ","-2,774 ","1,091 "
2022-01-19,-294 ,347 ,-119 
2022-01-18,"1,999 ",157 ,"-2,274 "
2022-01-17,"4,814 ","-6,888 ","1,782 "
2022-01-14,"8,069 ","-2,451 ","-5,953 "
2022-01-13,-935 ,"3,697 ","-3,031 "
2022-01-12,"-10,728 ","4,551 ","6,055 "
2022-01-11,"-2,189 ","4,828 ","-2,619 "
2022-01-10,"5,729 ",-820 ,"-4,999 "
2022-01-07,"-2,442 ","6,554 ","-3,357 "
2022-01-06,"2,847 ","1,812 ","-4,855 "
2022-01-05,"6,984 ","6,175 ","-13,222 "
2022-01-04,"6,457 ",904 ,"-7,453 "
2022-01-03,"5,230 ","2,654 ","-8,110 "
2021-12-30,"9,536 ","-2,138 ","-7,606 "
2021-12-29,"18,519 ","-1,223 ","-17,360 "
2021-12-28,"-19,976 ","4,489 ","15,189 "
2021-12-27,"-5,443 ",486 ,"4,362 "
2021-12-24,"-11,324 ","1,894 ","9,161 "
2021-12-23,"-8,209 ","2,261 ","5,787 "
2021-12-22,"-4,998 ","4,160 ",613 
2021-12-21,"-6,476 ",293 ,"6,018 "
2021-12-20,"10,860 ","-5,544 ","-5,749 "
2021-12-17,"-5,272 ","5,319 ",-138 
2021-12-16,"-1,692 ","1,835 ",-515 
2021-12-15,"1,668 ",-225 ,"-1,700 "
2021-12-14,-376 ,"1,834 ","-1,878 "
2021-12-13,"-3,683 ","-1,385 ","4,688 "
2021-12-10,150 ,"-2,887 ","2,395 "
2021-12-09,"-5,076 ","3,261 ","6,368 "
2021-12-08,"-6,862 ",-789 ,"8,027 "
2021-12-07,"-1,396 ","2,074 ",-757 
2021-12-06,"-1,679 ",20 ,"1,521 "
2021-12-03,"-2,655 ","1,515 ",887 
2021-12-02,"-9,199 ","8,851 ",29 
2021-12-01,"-10,107 ","9,423 ","-1,110 "
2021-11-30,"7,338 ","-1,332 ","-6,400 "
2021-11-29,"-7,619 ",396 ,"7,143 "
2021-11-26,"4,881 ","-1,769 ","-3,710 "
2021-11-25,"2,012 ",-946 ,"-1,504 "
2021-11-24,"2,394 ","3,178 ","-5,931 "
2021-11-23,"3,802 ","2,799 ","-6,961 "
2021-11-22,"-13,692 ","7,957 ","5,671 "
2021-11-19,"-3,542 ","2,328 ",750 
2021-11-18,"2,213 ",-457 ,"-1,974 "
2021-11-17,"7,260 ","1,097 ","-8,757 "
2021-11-16,"-1,456 ","6,488 ","-5,171 "
2021-11-15,"-8,137 ","3,983 ","4,147 "
2021-11-12,"-10,402 ","4,271 ","5,945 "
2021-11-11,"1,314 ",885 ,"-2,426 "
2021-11-10,"2,341 ",-177 ,"-2,350 "
2021-11-09,"-1,565 ","-1,373 ","2,740 "
2021-11-08,"3,642 ","-1,174 ","-2,761 "
2021-11-05,"3,262 ","1,023 ","-4,450 "
2021-11-04,"-6,954 ","3,474 ","3,374 "
2021-11-03,"8,392 ","-4,444 ","-4,204 "
2021-11-02,"-10,753 ","3,166 ","7,654 "
2021-11-01,"-2,657 ","-3,586 ","6,368 "
2021-10-29,"12,566 ","-8,005 ","-4,759 "
2021-10-28,"3,401 ","-2,484 ","-1,145 "
2021-10-27,"6,142 ","-2,845 ","-3,491 "
2021-10-26,"-4,752 ","1,061 ","3,474 "
2021-10-25,"-3,046 ",364 ,"2,588 "
2021-10-22,-674 ,"-1,080 ","1,855 "
2021-10-21,"-1,598 ",529 ,"1,181 "
2021-10-20,"2,833 ",-689 ,"-2,114 "
2021-10-19,"-3,276 ","1,455 ","1,838 "
2021-10-18,"4,241 ",393 ,"-4,885 "
2021-10-15,"-3,003 ",863 ,"2,134 "
2021-10-14,"-1,151 ","-3,849 ","5,037 "
2021-10-13,"-5,332 ","-2,711 ","7,724 "
2021-10-12,"9,793 ","-8,206 ","-1,999 "
2021-10-08,"4,617 ",-463 ,"-4,527 "
2021-10-07,"-5,317 ","-1,071 ","6,143 "
2021-10-06,"1,718 ","-2,760 ",834 
2021-10-05,"3,530 ","-6,232 ","2,362 "
2021-10-01,"7,609 ","-3,000 ","-4,873 "
2021-09-30,"1,435 ",390 ,"-2,178 "
2021-09-29,"9,604 ","-6,598 ","-3,126 "
2021-09-28,"5,611 ",60 ,"-5,516 "
2021-09-27,"-3,416 ","3,394 ",83 
2021-09-24,"2,483 ",835 ,"-3,419 "
2021-09-23,"-3,106 ","5,709 ","-2,361 "
2021-09-17,"2,231 ",531 ,"-3,020 "
2021-09-16,"4,593 ",260 ,"-5,160 "
2021-09-15,"-1,846 ","2,940 ","-1,406 "
2021-09-14,"-12,951 ","2,939 ","7,637 "
2021-09-13,"-3,355 ","1,445 ","1,996 "
2021-09-10,"2,791 ","-5,174 ","2,383 "
2021-09-09,"12,028 ","-3,173 ","-9,315 "
2021-09-08,"4,269 ","-2,229 ","-1,831 "
2021-09-07,"4,337 ","-3,105 ","-1,203 "
2021-09-06,-966 ,623 ,457 
2021-09-03,"-4,695 ","5,845 ",-766 
2021-09-02,"9,412 ","5,495 ","-14,902 "
2021-09-01,"-1,030 ",748 ,-316 
2021-08-31,"-9,938 ","11,233 ","-1,347 "
2021-08-30,-577 ,"-2,366 ","2,526 "
2021-08-27,"-3,440 ","-3,708 ","7,321 "
2021-08-26,"4,400 ","-3,632 ",-814 
2021-08-25,-267 ,"1,634 ","3,450 "
2021-08-24,"-3,532 ","1,536 ","2,315 "
2021-08-23,"-5,764 ",-303 ,"6,096 "
2021-08-20,"2,712 ","-2,538 ",-163 
2021-08-19,"8,025 ","-2,666 ","-3,297 "
2021-08-18,"-1,288 ","-2,594 ","4,100 "
2021-08-17,"5,870 ","-4,209 ","-1,276 "
2021-08-13,"28,040 ","-26,926 ","-1,655 "
2021-08-12,"18,308 ","-18,823 ",523 
2021-08-11,"17,856 ","-16,134 ","-1,925 "
2021-08-10,"15,415 ","-6,373 ","-3,833 "
2021-08-09,"9,497 ","-2,005 ","-7,527 "
2021-08-06,"1,912 ",569 ,"-2,344 "
2021-08-05,"-2,521 ",673 ,"1,845 "
