Date,종가,등락율
2002-01-02,724.95,4.5
2002-01-03,727.66,0.37
2002-01-04,747.72,2.76
2002-01-07,751.48,0.5
2002-01-08,734.76,-2.22
2002-01-09,751.61,2.29
2002-01-10,728.23,-3.11
2002-01-11,727.36,-0.12
2002-01-14,744.03,2.29
2002-01-15,718.64,-3.4099999999999997
2002-01-16,710.95,-1.07
2002-01-17,713.5,0.36
2002-01-18,708.47,-0.7
2002-01-21,717.35,1.25
2002-01-22,724.36,0.98
2002-01-23,742.62,2.52
2002-01-24,757.71,2.03
2002-01-25,774.68,2.24
2002-01-28,780.24,0.72
2002-01-29,774.03,-0.8
2002-01-30,749.45,-3.18
2002-01-31,748.07,-0.18
2002-02-01,742.42,-0.76
2002-02-04,730.21,-1.6399999999999997
2002-02-05,739.91,1.33
2002-02-06,741.55,0.22
2002-02-07,727.71,-1.87
2002-02-08,739.66,1.6399999999999997
2002-02-14,796.18,7.64
2002-02-15,783.59,-1.58
2002-02-18,790.37,0.8699999999999999
2002-02-19,782.27,-1.02
2002-02-20,776.89,-0.69
2002-02-21,787.62,1.38
2002-02-22,792.0,0.56
2002-02-25,791.48,-0.07
2002-02-26,801.14,1.22
2002-02-27,822.11,2.62
2002-02-28,819.99,-0.26
2002-03-04,834.21,1.73
2002-03-05,841.95,0.93
2002-03-06,843.06,0.13
2002-03-07,829.44,-1.6200000000000003
2002-03-08,825.27,-0.5
2002-03-11,827.02,0.21
2002-03-12,846.03,2.3
2002-03-13,849.13,0.37
2002-03-14,856.86,0.91
2002-03-15,860.36,0.4099999999999999
2002-03-18,869.71,1.09
2002-03-19,889.98,2.33
2002-03-20,887.48,-0.28
2002-03-21,885.64,-0.21
2002-03-22,895.98,1.17
2002-03-25,879.41,-1.8500000000000003
2002-03-26,881.03,0.18
2002-03-27,902.46,2.43
2002-03-28,892.67,-1.08
2002-03-29,895.58,0.33
2002-04-01,875.83,-2.21
2002-04-02,905.34,3.37
2002-04-03,918.59,1.46
2002-04-04,918.01,-0.06
2002-04-08,900.69,-1.8900000000000001
2002-04-09,888.67,-1.33
2002-04-10,856.03,-3.6699999999999995
2002-04-11,862.86,0.8
2002-04-12,875.69,1.49
2002-04-15,894.28,2.12
2002-04-16,901.29,0.78
2002-04-17,930.51,3.2400000000000007
2002-04-18,937.61,0.76
2002-04-19,923.94,-1.46
2002-04-22,920.89,-0.33
2002-04-23,925.7,0.52
2002-04-24,915.69,-1.08
2002-04-25,872.58,-4.71
2002-04-26,869.65,-0.34
2002-04-29,838.51,-3.58
2002-04-30,842.34,0.45999999999999996
2002-05-02,859.86,2.08
2002-05-03,856.72,-0.37
2002-05-06,826.87,-3.4799999999999995
2002-05-07,826.34,-0.06
2002-05-08,844.67,2.22
2002-05-09,838.67,-0.71
2002-05-10,817.93,-2.47
2002-05-13,821.89,0.48
2002-05-14,837.37,1.8799999999999997
2002-05-15,862.62,3.02
2002-05-16,858.04,-0.53
2002-05-17,875.03,1.9799999999999998
2002-05-20,865.78,-1.06
2002-05-21,837.56,-3.26
2002-05-22,863.06,3.04
2002-05-23,845.51,-2.03
2002-05-24,854.57,1.07
2002-05-27,840.57,-1.6399999999999997
2002-05-28,848.8,0.98
2002-05-29,835.19,-1.6
2002-05-30,815.61,-2.34
2002-05-31,796.4,-2.36
2002-06-03,804.93,1.07
2002-06-04,806.33,0.17
2002-06-05,809.59,0.4
2002-06-07,795.16,-1.78
2002-06-10,811.9,2.11
2002-06-11,815.33,0.42
2002-06-12,823.06,0.95
2002-06-14,822.01,-0.13
2002-06-17,809.16,-1.56
2002-06-18,809.4,0.03
2002-06-19,776.37,-4.08
2002-06-20,776.81,0.06
2002-06-21,778.53,0.22
2002-06-24,767.92,-1.36
2002-06-25,755.92,-1.56
2002-06-26,701.87,-7.15
2002-06-27,710.43,1.22
2002-06-28,742.72,4.55
2002-07-02,746.23,0.4699999999999999
2002-07-03,753.36,0.96
2002-07-04,768.74,2.04
2002-07-05,787.83,2.48
2002-07-08,783.35,-0.57
2002-07-09,801.99,2.38
2002-07-10,794.71,-0.91
2002-07-11,764.88,-3.75
2002-07-12,792.93,3.6699999999999995
2002-07-15,783.52,-1.19
2002-07-16,771.45,-1.54
2002-07-18,773.85,0.31
2002-07-19,754.62,-2.48
