,종가,등락율,날짜,개인순매수,외국인순매수,기관순매수
0,2657.13,-0.0176,2022-04-25,10221,-6542,-3825
1,2704.71,-0.0086,2022-04-22,8362,-1556,-6975
2,2728.21,0.0034999999999999996,2022-04-21,-5667,-597,6366
3,2718.69,-0.0001,2022-04-20,738,948,-1612
4,2718.89,0.0095,2022-04-19,-3431,331,3364
5,2693.21,-0.0011,2022-04-18,1020,-947,-188
6,2696.06,-0.0076,2022-04-15,7486,-3181,-4426
7,2716.71,0.0001,2022-04-14,898,-2528,1547
8,2716.49,0.018600000000000002,2022-04-13,-5842,-649,6393
9,2666.76,-0.0098,2022-04-12,5614,-4657,-1203
10,2693.1,-0.0027,2022-04-11,1259,-1343,18
11,2700.39,0.0017000000000000001,2022-04-08,4234,-4544,98
12,2695.86,-0.0143,2022-04-07,12799,-7683,-5203
13,2735.03,-0.0088,2022-04-06,11402,-5836,-5658
14,2759.2,0.0005,2022-04-05,2382,144,-2478
15,2757.9,0.0066,2022-04-04,-26,223,136
16,2739.85,-0.006500000000000001,2022-04-01,8460,-681,-7830
17,2757.65,0.004,2022-03-31,-128,-1743,1887
18,2746.74,0.0021,2022-03-30,-1380,-96,1593
19,2741.07,0.0042,2022-03-29,-85,-2799,3266
20,2729.56,-0.0002,2022-03-28,1921,-2628,676
21,2729.98,0.0001,2022-03-25,6634,-5517,-1278
22,2729.66,-0.002,2022-03-24,5091,10162,-15859
23,2735.05,0.0092,2022-03-23,-2985,572,2355
24,2710.0,0.0089,2022-03-22,-1855,2198,-323
25,2686.05,-0.0077,2022-03-21,8060,-4898,-3346
26,2707.02,0.0046,2022-03-18,1353,-1021,-143
27,2694.51,0.013300000000000001,2022-03-17,-6954,4639,2504
28,2659.23,0.0144,2022-03-16,-2363,-1341,3656
29,2621.53,-0.0091,2022-03-15,5986,-6753,478
30,2645.65,-0.0059,2022-03-14,6250,-6399,55
31,2661.28,-0.0070999999999999995,2022-03-11,10294,-6861,-3710
32,2680.32,0.022099999999999998,2022-03-10,-3525,-4270,7645
33,2622.4,-0.0109,2022-03-08,7320,-4736,-2914
34,2651.31,-0.0229,2022-03-07,21153,-11815,-9598
35,2713.43,-0.012199999999999999,2022-03-04,9868,-5869,-4256
36,2747.08,0.0161,2022-03-03,-3912,1331,2591
37,2703.52,0.0016,2022-03-02,4264,-3064,-1322
38,2699.18,0.0084,2022-02-28,2908,966,-3801
39,2676.76,0.0106,2022-02-25,-852,-1230,1942
40,2648.8,-0.026000000000000002,2022-02-24,10998,-6669,-4826
41,2719.53,0.004699999999999999,2022-02-23,634,-2667,1896
42,2706.79,-0.013500000000000002,2022-02-22,6714,-3266,-3823
43,2743.8,-0.0003,2022-02-21,1016,-634,-896
44,2744.52,0.0002,2022-02-18,422,-1514,1040
45,2744.09,0.0053,2022-02-17,-10983,6493,4345
46,2729.68,0.0199,2022-02-16,-2080,-445,2254
47,2676.54,-0.0103,2022-02-15,1705,-2192,342
48,2704.48,-0.015700000000000002,2022-02-14,-1893,667,961
49,2747.71,-0.0087,2022-02-11,706,6103,-6953
50,2771.93,0.0011,2022-02-10,-3068,8345,-5419
51,2768.85,0.008100000000000001,2022-02-09,-4601,2396,1970
52,2746.47,0.0005,2022-02-08,456,-961,394
53,2745.06,-0.0019,2022-02-07,8109,-69,-8325
54,2750.26,0.015700000000000002,2022-02-04,-4149,1904,2144
55,2707.82,0.0167,2022-02-03,-1339,838,497
56,2663.34,0.0187,2022-01-28,2735,-7010,3923
57,2614.49,-0.035,2022-01-27,-1393,-17056,18478
58,2709.24,-0.0040999999999999995,2022-01-26,2218,-2417,-158
59,2720.39,-0.0256,2022-01-25,5733,-4310,-1681
60,2792.0,-0.0149,2022-01-24,-1377,-4362,5936
61,2834.29,-0.009899999999999999,2022-01-21,8958,-2205,-6434
62,2862.68,0.0072,2022-01-20,1461,-2774,1091
63,2842.28,-0.0077,2022-01-19,-294,347,-119
64,2864.24,-0.0089,2022-01-18,1999,157,-2274
65,2890.1,-0.0109,2022-01-17,4814,-6888,1782
66,2921.92,-0.013600000000000001,2022-01-14,8069,-2451,-5953
67,2962.09,-0.0034999999999999996,2022-01-13,-935,3697,-3031
68,2972.48,0.0154,2022-01-12,-10728,4551,6055
69,2927.38,0.0002,2022-01-11,-2189,4828,-2619
70,2926.72,-0.0095,2022-01-10,5729,-820,-4999
71,2954.89,0.0118,2022-01-07,-2442,6554,-3357
72,2920.53,-0.0113,2022-01-06,2847,1812,-4855
73,2953.97,-0.0118,2022-01-05,6984,6175,-13222
74,2989.24,0.0002,2022-01-04,6457,904,-7453
75,2988.77,0.0037,2022-01-03,5230,2654,-8110
76,2977.65,-0.0052,2021-12-30,9536,-2138,-7606
77,2993.29,-0.0089,2021-12-29,18519,-1223,-17360
78,3020.24,0.0069,2021-12-28,-19976,4489,15189
79,2999.55,-0.0043,2021-12-27,-5443,486,4362
80,3012.43,0.0048,2021-12-24,-11324,1894,9161
81,2998.17,0.0046,2021-12-23,-8209,2261,5787
82,2984.48,0.0032,2021-12-22,-4998,4160,613
83,2975.03,0.0040999999999999995,2021-12-21,-6476,293,6018
84,2963.0,-0.0181,2021-12-20,10860,-5544,-5749
85,3017.73,0.0038,2021-12-17,-5272,5319,-138
86,3006.41,0.005699999999999999,2021-12-16,-1692,1835,-515
87,2989.39,0.0005,2021-12-15,1668,-225,-1700
88,2987.95,-0.0046,2021-12-14,-376,1834,-1878
89,3001.66,-0.0028000000000000004,2021-12-13,-3683,-1385,4688
90,3010.23,-0.0064,2021-12-10,150,-2887,2395
91,3029.57,0.009300000000000001,2021-12-09,-5076,3261,6368
92,3001.8,0.0034000000000000002,2021-12-08,-6862,-789,8027
93,2991.72,0.0062,2021-12-07,-1396,2074,-757
94,2973.25,0.0017000000000000001,2021-12-06,-1679,20,1521
95,2968.33,0.0078000000000000005,2021-12-03,-2655,1515,887
96,2945.27,0.015700000000000002,2021-12-02,-9199,8851,29
97,2899.72,0.021400000000000002,2021-12-01,-10107,9423,-1110
98,2839.01,-0.0242,2021-11-30,7338,-1332,-6400
99,2909.32,-0.0092,2021-11-29,-7619,396,7143
100,2936.44,-0.0147,2021-11-26,4881,-1769,-3710
101,2980.27,-0.004699999999999999,2021-11-25,2012,-946,-1504
102,2994.29,-0.001,2021-11-24,2394,3178,-5931
103,2997.33,-0.0053,2021-11-23,3802,2799,-6961
104,3013.25,0.014199999999999999,2021-11-22,-13692,7957,5671
105,2971.02,0.008,2021-11-19,-3542,2328,750
106,2947.38,-0.0051,2021-11-18,2213,-457,-1974
107,2962.42,-0.0116,2021-11-17,7260,1097,-8757
108,2997.21,-0.0008,2021-11-16,-1456,6488,-5171
109,2999.52,0.0103,2021-11-15,-8137,3983,4147
110,2968.8,0.015,2021-11-12,-10402,4271,5945
111,2924.92,-0.0018,2021-11-11,1314,885,-2426
112,2930.17,-0.0109,2021-11-10,2341,-177,-2350
113,2962.46,0.0008,2021-11-09,-1565,-1373,2740
114,2960.2,-0.0031,2021-11-08,3642,-1174,-2761
115,2969.27,-0.004699999999999999,2021-11-05,3262,1023,-4450
116,2983.22,0.0025,2021-11-04,-6954,3474,3374
117,2975.71,-0.0125,2021-11-03,8392,-4444,-4204
118,3013.49,0.0116,2021-11-02,-10753,3166,7654
119,2978.94,0.0028000000000000004,2021-11-01,-2657,-3586,6368
120,2970.68,-0.0129,2021-10-29,12566,-8005,-4759
121,3009.55,-0.0053,2021-10-28,3401,-2484,-1145
122,3025.49,-0.0077,2021-10-27,6142,-2845,-3491
123,3049.08,0.009399999999999999,2021-10-26,-4752,1061,3474
124,3020.54,0.0048,2021-10-25,-3046,364,2588
125,3006.16,-0.0004,2021-10-22,-674,-1080,1855
126,3007.33,-0.0019,2021-10-21,-1598,529,1181
127,3013.13,-0.0053,2021-10-20,2833,-689,-2114
128,3029.04,0.0074,2021-10-19,-3276,1455,1838
129,3006.68,-0.0028000000000000004,2021-10-18,4241,393,-4885
130,3015.06,0.0088,2021-10-15,-3003,863,2134
131,2988.64,0.015,2021-10-14,-1151,-3849,5037
132,2944.41,0.0096,2021-10-13,-5332,-2711,7724
133,2916.38,-0.013500000000000002,2021-10-12,9793,-8206,-1999
134,2956.3,-0.0011,2021-10-08,4617,-463,-4527
135,2959.46,0.0176,2021-10-07,-5317,-1071,6143
136,2908.31,-0.0182,2021-10-06,1718,-2760,834
137,2962.17,-0.0189,2021-10-05,3530,-6232,2362
138,3019.18,-0.016200000000000003,2021-10-01,7609,-3000,-4873
139,3068.82,0.0028000000000000004,2021-09-30,1435,390,-2178
140,3060.27,-0.012199999999999999,2021-09-29,9604,-6598,-3126
141,3097.92,-0.011399999999999999,2021-09-28,5611,60,-5516
142,3133.64,0.0027,2021-09-27,-3416,3394,83
143,3125.24,-0.0007000000000000001,2021-09-24,2483,835,-3419
144,3127.58,-0.0040999999999999995,2021-09-23,-3106,5709,-2361
145,3140.51,0.0033,2021-09-17,2231,531,-3020
146,3130.09,-0.0074,2021-09-16,4593,260,-5160
147,3153.4,0.0015,2021-09-15,-1846,2940,-1406
148,3148.83,0.0067,2021-09-14,-12951,2939,7637
149,3127.86,0.0007000000000000001,2021-09-13,-3355,1445,1996
150,3125.76,0.0036,2021-09-10,2791,-5174,2383
151,3114.7,-0.015300000000000001,2021-09-09,12028,-3173,-9315
152,3162.99,-0.0077,2021-09-08,4269,-2229,-1831
153,3187.42,-0.005,2021-09-07,4337,-3105,-1203
154,3203.33,0.0007000000000000001,2021-09-06,-966,623,457
155,3201.06,0.0079,2021-09-03,-4695,5845,-766
156,3175.85,-0.0097,2021-09-02,9412,5495,-14902
157,3207.02,0.0024,2021-09-01,-1030,748,-316
158,3199.27,0.0175,2021-08-31,-9938,11233,-1347
159,3144.19,0.0033,2021-08-30,-577,-2366,2526
160,3133.9,0.0017000000000000001,2021-08-27,-3440,-3708,7321
161,3128.53,-0.0058,2021-08-26,4400,-3632,-814
162,3146.81,0.0027,2021-08-25,-267,1634,3450
163,3138.3,0.015600000000000001,2021-08-24,-3532,1536,2315
164,3090.21,0.0097,2021-08-23,-5764,-303,6096
165,3060.51,-0.012,2021-08-20,2712,-2538,-163
166,3097.83,-0.019299999999999998,2021-08-19,8025,-2666,-3297
167,3158.93,0.005,2021-08-18,-1288,-2594,4100
168,3143.09,-0.0089,2021-08-17,5870,-4209,-1276
169,3171.29,-0.0116,2021-08-13,28040,-26926,-1655
170,3208.38,-0.0038,2021-08-12,18308,-18823,523
171,3220.62,-0.006999999999999999,2021-08-11,17856,-16134,-1925
172,3243.19,-0.0053,2021-08-10,15415,-6373,-3833
173,3260.42,-0.003,2021-08-09,9497,-2005,-7527
174,3270.36,-0.0018,2021-08-06,1912,569,-2344
175,3276.13,-0.0013,2021-08-05,-2521,673,1845
176,3280.38,0.0134,2021-08-04,-17766,9075,8893
177,3237.14,0.0044,2021-08-03,-6700,6629,-348
178,3223.04,0.006500000000000001,2021-08-02,-4877,-1472,6254
179,3202.32,-0.0124,2021-07-30,12548,-7118,-5712
180,3242.65,0.0018,2021-07-29,-175,-2261,2584
181,3236.86,0.0013,2021-07-28,1396,-4211,3001
182,3232.53,0.0024,2021-07-27,-2760,429,2237
183,3224.95,-0.0091,2021-07-26,7241,-3754,-3382
184,3254.42,0.0013,2021-07-23,-882,1119,-146
185,3250.21,0.010700000000000001,2021-07-22,-8792,581,8161
186,3215.91,-0.0052,2021-07-21,7366,-4923,-2814
187,3232.7,-0.0034999999999999996,2021-07-20,370,-1807,1521
188,3244.04,-0.01,2021-07-19,9359,-4543,-4558
189,3276.91,-0.0028000000000000004,2021-07-16,6936,-899,-5716
190,3286.22,0.0066,2021-07-15,-3398,1003,2075
191,3264.81,-0.002,2021-07-14,6056,-2726,-3159
192,3271.38,0.0077,2021-07-13,-5620,2713,3061
193,3246.47,0.0089,2021-07-12,-2296,394,2183
194,3217.95,-0.010700000000000001,2021-07-09,18006,-13332,-5083
195,3252.68,-0.009899999999999999,2021-07-08,10942,-4985,-6255
196,3285.34,-0.006,2021-07-07,11631,-3382,-8346
197,3305.21,0.0036,2021-07-06,-2929,2240,696
198,3293.21,0.0034999999999999996,2021-07-05,-2633,8,2634
199,3281.78,-0.0001,2021-07-02,3534,-1212,-2226
200,3282.06,-0.0044,2021-07-01,12660,-4056,-8303
201,3296.68,0.003,2021-06-30,310,39,-506
