날짜,종가,등락율,개인순매수,외국인순매수,기관순매수
2005-01-31,932.7,0.0121,-1202.0,-468.0,1670.0
2005-02-28,1011.36,0.0144999999999999,-365.0,2884.0,-2519.0
2005-03-31,965.68,0.0107,-659.0,215.0,444.0
2005-04-29,911.3,-0.0069999999999999,-807.0,-865.0,1671.0
2005-05-31,970.21,0.0012,-1100.0,79.0,1022.0
2005-06-30,1008.16,0.0091,-1858.0,442.0,1417.0
2005-07-29,1111.29,0.0059,-719.0,683.0,35.0
2005-08-31,1083.33,0.01,-908.0,-214.0,1122.0
2005-09-30,1221.01,-0.0083,-718.0,-339.0,1057.0
2005-10-31,1158.11,0.0152,-527.0,-909.0,1436.0
2005-11-30,1297.44,0.0141,-2197.0,-978.0,3175.0
2005-12-30,1297.44,0.0141,-2197.0,-978.0,3175.0
2006-01-31,1399.83,0.011,-1673.0,3010.0,-1337.0
2006-02-28,1371.59,-0.0024,-359.0,0.0,359.0
2006-03-31,1359.6,0.016,-2991.0,1127.0,1865.0
2006-04-28,1419.73,-0.0226,2747.0,-1744.0,-1003.0
2006-05-31,1419.73,-0.0226,2747.0,-1744.0,-1003.0
2006-06-30,1295.15,0.0254,-3446.0,2013.0,1432.0
2006-07-31,1297.82,0.0006,-101.0,1131.0,-1030.0
2006-08-31,1352.74,0.0085,-2973.0,-1254.0,4228.0
2006-09-29,1371.41,-0.0,-1150.0,167.0,982.0
2006-10-31,1364.55,0.0062,-193.0,-1416.0,1609.0
2006-11-30,1432.21,0.0068,-1098.0,990.0,108.0
2006-12-29,1432.21,0.0068,-1098.0,990.0,108.0
2007-01-31,1360.23,-0.0077,484.0,460.0,-944.0
2007-02-28,1417.34,-0.0256,4739.0,-3075.0,-1664.0
2007-03-30,1452.55,0.0011,1078.0,939.0,-2017.0
2007-04-30,1542.24,-0.0002,93.0,565.0,-658.0
2007-05-31,1700.91,0.023,-2369.0,-250.0,2619.0
2007-06-29,1743.6,-0.0046999999999999,-2118.0,-1083.0,3202.0
2007-07-31,1933.27,0.0139,1372.0,-1332.0,-40.0
2007-08-31,1873.24,0.0171,-4999.0,-2237.0,7236.0
2007-09-28,1946.48,0.0006,1037.0,-155.0,-882.0
2007-10-31,2064.85,0.0060999999999999,232.0,-1988.0,1756.0
2007-11-30,1906.0,0.0151,-4864.0,407.0,4457.0
2007-12-31,1906.0,0.0151,-4864.0,407.0,4457.0
2008-01-31,1624.68,0.0224,-4890.0,-137.0,5028.0
2008-02-29,1711.62,-0.0141,3878.0,-213.0,-3665.0
2008-03-31,1703.99,0.0013,466.0,2013.0,-2479.0
