,날짜,종가,등락률,외인순매수,기관순매수,개인순매수
0,2022-04-25,66300.0,-1.04,-2941618,-101900,293513
1,2022-04-22,67000.0,-1.03,-528882,-183096,209460
2,2022-04-21,67700.0,0.45,-6754,135745,-79887
3,2022-04-20,67400.0,0.15,-2097403,-85891,211059
4,2022-04-19,67300.0,0.9,-1082110,100366,11591
5,2022-04-18,66700.0,0.15,-1396426,-6216,89393
6,2022-04-15,66600.0,-1.33,-2481876,-241856,435884
7,2022-04-14,67500.0,-1.75,-2564413,-134374,310909
8,2022-04-13,68700.0,2.54,125548,84182,-82730
9,2022-04-12,67000.0,-1.33,-2912238,-96839,269191
10,2022-04-11,67900.0,0.15,-1509532,-31235,112148
11,2022-04-08,67800.0,-0.29,-4277092,-17703,349742
12,2022-04-07,68000.0,-0.73,-4882230,-167255,558964
13,2022-04-06,68500.0,-1.01,-5415763,-182182,535513
14,2022-04-05,69200.0,-0.14,226499,-84474,102342
15,2022-04-04,69300.0,0.29,-1131403,-35011,126387
16,2022-04-01,69100.0,-0.72,-2857233,-294467,450369
17,2022-03-31,69600.0,-0.43,-4795242,119,220107
18,2022-03-30,69900.0,-0.43,-2094132,-11550,131766
19,2022-03-29,70200.0,0.72,-2664226,66459,-17613
20,2022-03-28,69700.0,-0.14,-4118982,-5128,216561
21,2022-03-25,69800.0,0.0,-3942324,-67313,346398
22,2022-03-24,69800.0,-0.99,13796878,-1422741,466387
23,2022-03-23,70500.0,0.28,-541336,26784,10744
24,2022-03-22,70300.0,0.57,82660,6685,-5586
25,2022-03-21,69900.0,-1.13,-2428261,-138108,314054
26,2022-03-18,70700.0,-0.7,147165,-72939,152458
27,2022-03-17,71200.0,1.14,100505,96494,-75912
28,2022-03-16,70400.0,1.29,-1103242,80773,8560
29,2022-03-15,69500.0,-1.0,-1928704,-49730,205518
30,2022-03-14,70200.0,0.29,915719,-81824,41854
31,2022-03-11,70000.0,-1.69,-4009164,-205270,455952
32,2022-03-10,71200.0,2.45,-2043122,185444,-601
33,2022-03-08,69500.0,-0.86,-2787618,-118299,311722
34,2022-03-07,70100.0,-1.96,-4652194,-385173,627723
35,2022-03-04,71500.0,-1.92,-3283952,-185600,427956
36,2022-03-03,72900.0,1.67,309721,97839,-147191
37,2022-03-02,71700.0,-0.55,-807319,-77828,131719
38,2022-02-28,72100.0,0.28,-2427741,-102212,242401
39,2022-02-25,71900.0,0.56,-2085756,34269,92420
40,2022-02-24,71500.0,-2.05,-2384687,-187613,345734
41,2022-02-23,73000.0,-0.54,-82556,-55856,134035
42,2022-02-22,73400.0,-1.08,197679,-157262,116220
43,2022-02-21,74200.0,-0.13,-102263,-91242,80938
44,2022-02-18,74300.0,-0.93,-848948,-10774,70624
45,2022-02-17,75000.0,0.27,2004636,79856,-225728
46,2022-02-16,74800.0,1.49,504460,31706,-36673
47,2022-02-15,73700.0,0.0,-225500,31952,-31446
48,2022-02-14,73700.0,-1.6,-1060480,60523,68893
49,2022-02-11,74900.0,-0.66,1809269,-111537,-19064
50,2022-02-10,75400.0,0.94,2643810,-56889,-165535
51,2022-02-09,74700.0,1.63,1797382,69757,-174158
52,2022-02-08,73500.0,0.68,1070790,6858,-75113
53,2022-02-07,73000.0,-1.35,422116,-283483,252414
54,2022-02-04,74000.0,0.95,37393,-30493,-29951
55,2022-02-03,73300.0,0.0,-1581351,14237,108225
56,2022-01-28,73300.0,2.81,-1684393,66130,36771
57,2022-01-27,71300.0,-2.73,-1205985,-261331,372223
58,2022-01-26,73300.0,-0.95,-654848,-5228,52254
