,Unnamed: 0,날짜,외국인순매수,전월대비 등락률
0,0,2005 01,8538,
1,1,2005 02,14654,8.433579929237693
2,2,2005 03,-20741,-4.516690397089074
3,3,2005 04,-3243,-4.893960732333691
4,4,2005 05,1048,5.639032251039837
5,5,2005 06,450,3.911524309170173
6,6,2005 07,16160,10.694730995080151
7,7,2005 08,-10990,-2.925679671678712
8,8,2005 09,-8341,12.708962181422104
9,9,2005 10,-26613,-5.151472960909419
10,10,2005 11,134,12.030808817815249
11,11,2005 12,-13293,7.07778394376618
12,12,2006 01,21440,0.7601114254248595
13,13,2006 02,-5345,-2.017387825664546
14,14,2006 03,-5364,-0.8741679364824773
15,15,2006 04,4657,5.538393645189776
16,16,2006 05,-35400,-9.743536134922309
17,17,2006 06,-26621,0.0046328826568171
18,18,2006 07,-15818,0.2061537273674744
19,19,2006 08,-24589,4.231711639518583
20,20,2006 09,-15586,1.5878882859973105
21,21,2006 10,-6491,-0.7036719011512038
22,22,2006 11,-16058,4.9584111978307925
23,23,2006 12,10133,0.2129575970004367
24,24,2007 01,591,-5.227624263199697
25,25,2007 02,12392,4.1985546561978415
26,26,2007 03,-10795,2.976702837710081
27,27,2007 04,27133,5.666892766849605
28,28,2007 05,1736,10.288281979458455
29,29,2007 06,-35361,4.14131259149513
30,30,2007 07,-48322,9.14105061111582
31,31,2007 08,-87179,-3.105101718849409
32,32,2007 09,-19155,4.774081270953005
33,33,2007 10,-21020,5.20617322321123
34,34,2007 11,-67199,-7.693052764123298
35,35,2007 12,-24664,-2.757082896117521
36,36,2008 01,-85252,-12.342928053090183
37,37,2008 02,-20089,5.351207622424097
38,38,2008 03,-30498,-0.4457765158154194
39,39,2008 04,-11662,7.129149818954337
40,40,2008 05,9215,1.2084559045067815
41,41,2008 06,-47683,-9.34274409617164
42,42,2008 07,-49436,-4.791273613068086
43,43,2008 08,-29999,-11.30265195933955
44,44,2008 09,-26698,2.3776362209511874
45,45,2008 10,-45869,-23.134400508266232
46,46,2008 11,-16437,-4.891021148904826
47,47,2008 12,8550,9.33101585082468
48,48,2009 01,7694,-0.902885778468986
49,49,2009 02,-8747,-11.17223941758578
50,50,2009 03,482,18.39891638283881
51,51,2009 04,40525,13.52113143103476
52,52,2009 05,40767,3.3402465385289486
53,53,2009 06,24481,-1.768779591548299
54,54,2009 07,58517,12.029610019639302
55,55,2009 08,36431,2.2192398333001524
56,56,2009 09,48259,5.1066369318717335
57,57,2009 10,14600,-6.816524618382214
58,58,2009 11,18277,-0.2238485270253807
59,59,2009 12,22489,9.034456158395487
60,60,2010 01,6202,-5.288478545403094
61,61,2010 02,-182,0.5403251911057889
62,62,2010 03,53281,4.812645500024767
63,63,2010 04,51603,2.877396107156573
64,64,2010 05,-62497,-5.75977858931073
65,65,2010 06,6848,3.4753998476770733
66,66,2010 07,29026,4.944974062144865
67,67,2010 08,-5602,-2.217396915169979
68,68,2010 09,42990,7.46291780232391
69,69,2010 10,39434,2.2388816804694582
70,70,2010 11,16637,-0.5280090247239781
71,71,2010 12,36177,8.68672655581398
72,72,2011 01,3147,-0.0169075591281452
73,73,2011 02,-35092,-6.301788155943049
74,74,2011 03,11176,8.631980611560865
75,75,2011 04,31471,5.803389186879965
76,76,2011 05,-25561,-3.880284975952921
77,77,2011 06,-7348,-1.950085648807206
78,78,2011 07,13951,3.4093559735134598
79,79,2011 08,-46018,-13.451118855043712
80,80,2011 09,-13131,-5.875188153884603
81,81,2011 10,16480,7.876133698753985
82,82,2011 11,-26804,-3.222579006092098
83,83,2011 12,-4002,-1.1442427916493063
84,84,2012 01,62513,7.086187355245656
85,85,2012 02,42678,3.807157210129924
86,86,2012 03,3640,-0.047284817140748
87,87,2012 04,-236,-2.3308644895505304
88,88,2012 05,-39637,-6.988935362943304
89,89,2012 06,-9756,0.4437284034999248
90,90,2012 07,7187,1.6385386007074727
91,91,2012 08,50009,1.229018220075552
92,92,2012 09,32234,4.771877886957256
93,93,2012 10,-11855,-4.206850598437901
94,94,2012 11,-5451,1.0899239563612098
95,95,2012 12,35557,5.080449066169994
96,96,2013 01,-18941,-3.4050514499532203
97,97,2013 02,15646,3.290110808689356
98,98,2013 03,-24656,-1.5050654086622683
99,99,2013 04,-29715,-1.60521846301835
100,100,2013 05,7647,1.8890501285674235
101,101,2013 06,-49956,-7.262187351640385
102,102,2013 07,7984,3.1416208176836045
103,103,2013 08,21127,0.563209563068498
104,104,2013 09,75554,3.748421922163751
105,105,2013 10,46902,1.6590217130037597
106,106,2013 11,-1981,0.0339886408976968
107,107,2013 12,-17762,-3.1313091521484315
108,108,2014 01,-16452,-2.400886543750224
109,109,2014 02,-7218,3.126627638075792
110,110,2014 03,-11424,0.2838398173728095
111,111,2014 04,27460,-1.199631347545587
112,112,2014 05,19091,2.0496587300373657
113,113,2014 06,10931,0.0104895104895123
114,114,2014 07,40659,3.6914209798172943
115,115,2014 08,18237,-0.3978575419532476
116,116,2014 09,-6274,-2.3101177062277043
117,117,2014 10,-20442,-2.7553227826482907
118,118,2014 11,15453,0.0402152278268995
119,119,2014 12,-23255,-1.9733159646248244
120,120,2015 01,-10449,1.3620979630821624
121,121,2015 02,13278,2.259970911772532
122,122,2015 03,28641,2.214532178825228
123,123,2015 04,46179,4.2204181222226085
124,124,2015 05,16637,-1.1658682662880815
125,125,2015 06,-10508,-1.3399163800853358
126,126,2015 07,-17997,-2.123228232571581
127,127,2015 08,-41081,-4.367636048390278
128,128,2015 09,-17654,1.0981256663696406
129,129,2015 10,1080,3.6901177393634663
130,130,2015 11,-19484,-2.1260391894813377
131,131,2015 12,-32964,-3.675256153456128
132,132,2016 01,-29668,0.3158289728783144
133,133,2016 02,2651,-0.4239357446410497
134,134,2016 03,34190,4.131666544927104
135,135,2016 04,19570,-0.8868401934012986
136,136,2016 05,1798,0.2653994894219346
137,137,2016 06,7893,-0.6579610769385994
138,138,2016 07,39777,3.007587484457076
139,139,2016 08,10792,0.2483235695527806
140,140,2016 09,10816,0.4413535497505722
141,141,2016 10,3986,-1.7341691010603706
142,142,2016 11,-3556,-1.2304612611356514
143,143,2016 12,10106,2.15177365035191
144,144,2017 01,16395,2.043767520827579
145,145,2017 02,3137,1.1641685650304323
146,146,2017 03,35272,3.279244994358501
147,147,2017 04,7591,2.751558861787868
148,148,2017 05,13217,5.753557961318576
149,149,2017 06,16701,1.8918964973715315
150,150,2017 07,-5325,0.4565618218990828
151,151,2017 08,-18881,-1.6448094027160989
152,152,2017 09,-16122,2.988333566069588
153,153,2017 10,28466,3.682292372863941
154,154,2017 11,324,-1.8649219514708133
155,155,2017 12,-17500,0.1324519356962085
156,156,2018 01,19567,3.5008973040550053
157,157,2018 02,-15569,-5.419916928376048
158,158,2018 03,-7467,0.69210994660865
159,159,2018 04,-10440,2.913884524744708
160,160,2018 05,-8098,-3.672208572859762
161,161,2018 06,-15799,-6.251315512523689
162,162,2018 07,3722,1.044225503402989
163,163,2018 08,16478,1.2033495116021666
164,164,2018 09,-3075,0.6888001102080176
165,165,2018 10,-39888,-13.219575181283352
166,166,2018 11,3536,3.309372367208789
167,167,2018 12,-593,-4.142384327041391
168,168,2019 01,40335,9.694029850746263
169,169,2019 02,1350,-0.4267864027031251
170,170,2019 03,3005,-1.2371096454469197
171,171,2019 04,23820,1.6284797166417595
172,172,2019 05,-24667,-7.344832750194008
173,173,2019 06,7083,4.310049271699618
174,174,2019 07,20336,-4.939100547484662
175,175,2019 08,-22975,-2.7344348126744165
176,176,2019 09,-8616,4.766426804929952
177,177,2019 10,-5571,0.9902813795109104
178,178,2019 11,-31752,0.4050914815597008
179,179,2019 12,6002,3.9795976901602352
180,180,2020 01,3199,-2.581867164405534
181,181,2020 02,-33083,-5.497850411276974
182,182,2020 03,-125177,-12.377965653105347
183,183,2020 04,-40957,8.020448639037054
184,184,2020 05,-38833,8.953924563541685
185,185,2020 06,-11992,2.094349855695663
186,186,2020 07,10447,6.689654845304101
187,187,2020 08,-28320,3.4142893343469587
188,188,2020 09,-8628,1.3683436722165587
189,189,2020 10,-3819,-2.4529262086514056
190,190,2020 11,49612,12.659119365609362
191,191,2020 12,-17641,13.62654070866809
192,192,2021 01,-52153,3.806483383993629
193,193,2021 02,-20082,-0.4141951821182945
194,194,2021 03,-12163,0.5765686445216183
195,195,2021 04,3856,2.82352633745125
196,196,2021 05,-84911,1.7808924157999384
197,197,2021 06,-7000,2.8952033758645586
198,198,2021 07,-50722,-2.233762451921323
199,199,2021 08,-62400,-0.737502482128673
200,200,2021 09,10935,-4.077492678017167
201,201,2021 10,-38730,-2.9288130291121703
202,202,2021 11,25787,-4.697308438572104
203,203,2021 12,33524,5.275078284331501
204,204,2022 01,-18614,-9.40018803721932
205,205,2022 02,8065,-0.3190758617633493
206,206,2022 03,-50908,2.166213442601096
