,날짜,시가총액대비
0,2005-01-01,42.9
1,2005-02-01,42.7
2,2005-03-01,42.2
3,2005-04-01,41.9
4,2005-05-01,41.7
5,2005-06-01,41.5
6,2005-07-01,41.9
7,2005-08-01,41.9
8,2005-09-01,41.4
9,2005-10-01,40.8
10,2005-11-01,40.3
11,2005-12-01,39.8
12,2006-01-01,40.8
13,2006-02-01,40.1
14,2006-03-01,40.3
15,2006-04-01,39.9
16,2006-05-01,39.7
17,2006-06-01,39.4
18,2006-07-01,39.1
19,2006-08-01,38.1
20,2006-09-01,37.7
21,2006-10-01,37.5
22,2006-11-01,37.1
23,2006-12-01,37.2
24,2007-01-01,39.9
25,2007-02-01,40.2
26,2007-03-01,39.9
27,2007-04-01,39.6
28,2007-05-01,38.3
29,2007-06-01,37.8
30,2007-07-01,36.6
31,2007-08-01,35.5
32,2007-09-01,35.0
33,2007-10-01,34.1
34,2007-11-01,34.1
35,2007-12-01,34.2
36,2008-01-01,32.3
37,2008-02-01,30.9
38,2008-03-01,30.6
39,2008-04-01,31.3
40,2008-05-01,31.2
41,2008-06-01,30.8
42,2008-07-01,30.0
43,2008-08-01,30.3
44,2008-09-01,29.4
45,2008-10-01,29.8
46,2008-11-01,29.4
47,2008-12-01,28.7
48,2009-01-01,28.7
49,2009-02-01,28.5
50,2009-03-01,28.0
51,2009-04-01,27.9
52,2009-05-01,28.6
53,2009-06-01,29.5
54,2009-07-01,30.8
55,2009-08-01,31.1
56,2009-09-01,32.2
57,2009-10-01,32.3
58,2009-11-01,32.7
59,2009-12-01,32.7
60,2010-01-01,32.5
61,2010-02-01,32.1
62,2010-03-01,32.5
63,2010-04-01,33.1
64,2010-05-01,31.7
65,2010-06-01,31.5
66,2010-07-01,31.8
67,2010-08-01,31.5
68,2010-09-01,31.6
69,2010-10-01,31.7
70,2010-11-01,32.3
71,2010-12-01,33.0
72,2011-01-01,32.6
73,2011-02-01,32.5
74,2011-03-01,32.5
75,2011-04-01,32.6
76,2011-05-01,32.6
77,2011-06-01,32.2
78,2011-07-01,32.1
79,2011-08-01,32.0
80,2011-09-01,32.9
81,2011-10-01,33.1
82,2011-11-01,33.0
83,2011-12-01,32.9
84,2012-01-01,33.2
85,2012-02-01,33.2
86,2012-03-01,33.8
87,2012-04-01,34.5
88,2012-05-01,33.9
89,2012-06-01,33.8
90,2012-07-01,34.2
91,2012-08-01,34.1
92,2012-09-01,34.4
93,2012-10-01,34.3
94,2012-11-01,34.4
95,2012-12-01,34.8
96,2013-01-01,34.6
97,2013-02-01,35.0
98,2013-03-01,34.6
99,2013-04-01,34.2
100,2013-05-01,34.5
101,2013-06-01,33.9
102,2013-07-01,33.5
103,2013-08-01,34.2
104,2013-09-01,34.7
105,2013-10-01,35.6
106,2013-11-01,35.7
107,2013-12-01,35.3
108,2014-01-01,34.9
109,2014-02-01,35.1
110,2014-03-01,34.8
111,2014-04-01,35.1
112,2014-05-01,35.5
113,2014-06-01,35.3
114,2014-07-01,35.9
115,2014-08-01,35.5
116,2014-09-01,35.0
117,2014-10-01,35.2
118,2014-11-01,34.7
119,2014-12-01,34.1
120,2015-01-01,34.3
121,2015-02-01,33.9
122,2015-03-01,34.0
123,2015-04-01,34.0
124,2015-05-01,33.5
125,2015-06-01,32.8
126,2015-07-01,32.3
127,2015-08-01,31.7
128,2015-09-01,32.1
129,2015-10-01,32.9
130,2015-11-01,32.4
131,2015-12-01,32.2
132,2016-01-01,31.7
133,2016-02-01,31.9
134,2016-03-01,32.6
135,2016-04-01,32.6
136,2016-05-01,32.9
137,2016-06-01,33.4
138,2016-07-01,33.8
139,2016-08-01,34.4
140,2016-09-01,34.5
141,2016-10-01,35.0
142,2016-11-01,35.2
143,2016-12-01,35.2
144,2017-01-01,35.9
145,2017-02-01,35.6
146,2017-03-01,36.2
147,2017-04-01,36.6
148,2017-05-01,36.7
149,2017-06-01,37.0
150,2017-07-01,37.3
151,2017-08-01,37.0
152,2017-09-01,37.5
153,2017-10-01,37.8
154,2017-11-01,37.3
155,2017-12-01,37.2
156,2018-01-01,36.8
157,2018-02-01,36.5
158,2018-03-01,36.4
159,2018-04-01,36.5
160,2018-05-01,36.5
161,2018-06-01,36.3
162,2018-07-01,36.6
163,2018-08-01,36.1
164,2018-09-01,36.1
165,2018-10-01,36.7
166,2018-11-01,36.1
167,2018-12-01,35.8
168,2019-01-01,36.9
169,2019-02-01,36.8
170,2019-03-01,37.1
171,2019-04-01,37.4
172,2019-05-01,37.2
173,2019-06-01,37.6
174,2019-07-01,38.5
175,2019-08-01,38.3
176,2019-09-01,38.5
177,2019-10-01,38.3
178,2019-11-01,38.1
179,2019-12-01,38.2
180,2020-01-01,39.0
181,2020-02-01,38.9
182,2020-03-01,37.8
183,2020-04-01,36.7
184,2020-05-01,36.3
185,2020-06-01,36.2
186,2020-07-01,36.2
187,2020-08-01,35.3
188,2020-09-01,35.7
189,2020-10-01,35.7
190,2020-11-01,35.9
191,2020-12-01,36.5
192,2021-01-01,36.5
193,2021-02-01,36.6
194,2021-03-01,35.9
195,2021-04-01,35.7
196,2021-05-01,34.8
197,2021-06-01,34.7
198,2021-07-01,34.1
199,2021-08-01,32.7
200,2021-09-01,32.6
201,2021-10-01,32.5
202,2021-11-01,33.0
203,2021-12-01,33.5
204,2022-01-01,32.7
205,2022-02-01,32.4
206,2022-03-01,31.6
