날짜,외국인보유금액,시가총액대비
200501,184.8,42.9
200502,200.3,42.7
200503,189.1,42.2
200504,177.2,41.9
200505,188,41.7
200506,194.4,41.5
200507,217,41.9
200508,212.1,41.9
200509,236,41.4
200510,221.5,40.8
200511,245.2,40.3
200512,260.6,39.8
200601,271.8,40.8
200602,267,40.1
200603,267,40.3
200604,276.5,39.9
200605,254.7,39.7
200606,249.2,39.4
200607,248.9,39.1
200608,253,38.1
200609,253.9,37.7
200610,251.3,37.5
200611,260.7,37.1
200612,262.3,37.2
200701,266.5,39.9
200702,279.5,40.2
200703,284.4,39.9
200704,300,39.6
200705,320,38.3
200706,326,37.8
200707,351.8,36.6
200708,330.5,35.5
200709,340.8,35
200710,350.8,34.1
200711,324.8,34.1
200712,325.7,34.2
200801,264.4,32.3
200802,266.1,30.9
200803,263.2,30.6
200804,289.9,31.3
200805,293.4,31.2
200806,261.7,30.8
200807,242.8,30
200808,227.3,30.3
200809,216.6,29.4
200810,168.9,29.8
200811,162.8,29.4
200812,165.8,28.7
200901,171.6,28.7
200902,155.7,28.5
200903,174.6,28
200904,198.4,27.9
200905,207.3,28.6
200906,212.1,29.5
200907,249.1,30.8
200908,258.1,31.1
200909,280.9,32.2
200910,267.5,32.3
200911,267.8,32.7
200912,290,32.7
201001,275.5,32.5
201002,271,32.1
201003,293.8,32.5
201004,308.2,33.1
201005,287,31.7
201006,294.7,31.5
201007,309.3,31.8
201008,303.8,31.5
201009,327.5,31.6
201010,331,31.7
201011,341.8,32.3
201012,376.3,33
201101,377.2,32.6
201102,353.1,32.5
201103,384.4,32.5
201104,401,32.6
201105,391.1,32.6
201106,381.6,32.2
201107,386.8,32.1
201108,339.7,32
201109,329.6,32.9
201110,357.8,33.1
201111,345.8,33
201112,342.5,32.9
201201,371,33.2
201202,386.4,33.2
201203,391.8,33.8
201204,394,34.5
201205,360,33.9
201206,360.8,33.8
201207,371.5,34.2
201208,374.6,34.1
201209,396.2,34.4
201210,378.1,34.3
201211,384.3,34.4
201212,401.3,34.8
201301,392.7,34.6
201302,410.4,35
201303,401.4,34.6
201304,388.5,34.2
201305,402.1,34.5
201306,367.1,33.9
201307,373.1,33.5
201308,385.5,34.2
201309,404.7,34.7
201310,424.8,35.6
201311,430.3,35.7
201312,418.8,35.3
201401,399.6,34.9
201402,411.7,35.1
201403,411,34.8
201404,409.9,35.1
201405,422.7,35.5
201406,423.1,35.3
201407,445.5,35.9
201408,439.8,35.5
201409,421.9,35
201410,414.3,35.2
201411,422.1,34.7
201412,406.3,34.1
201501,416.3,34.3
201502,418.7,33.9
201503,433.1,34
201504,450.8,34
201505,441.6,33.5
201506,423.8,32.8
201507,409.4,32.3
201508,385,31.7
201509,394.5,32.1
201510,422.1,32.9
201511,410,32.4
201512,400.4,32.2
201601,382.7,31.7
201602,387.1,31.9
201603,412.5,32.6
201604,411.5,32.6
201605,412.5,32.9
201606,417,33.4
201607,434.2,33.8
201608,446.3,34.4
201609,448.7,34.5
201610,448.2,35
201611,450,35.2
201612,460,35.2
201701,480.6,35.9
201702,481.7,35.6
201703,507,36.2
201704,523.4,36.6
201705,556.9,36.7
201706,572.4,37
201707,581.7,37.3
201708,568.7,37
201709,584.6,37.5
201710,620.5,37.8
201711,599.5,37.3
201712,597.2,37.2
201801,613.3,36.8
201802,588.3,36.5
201803,592.1,36.4
201804,612.3,36.5
201805,591.1,36.5
201806,564.3,36.3
201807,562.1,36.6
201808,565.8,36.1
201809,566.3,36.1
201810,499.7,36.7
201811,505.4,36.1
201812,481.5,35.8
201901,537.4,36.9
201902,533.2,36.8
201903,525.1,37.1
201904,546.4,37.4
201905,505.7,37.2
201906,532.1,37.6
201907,518.1,38.5
201908,501.7,38.3
201909,530.4,38.5
201910,534.2,38.3
201911,532.6,38.1
201912,561.9,38.2
202001,554.2,39
202002,520.1,38.9
202003,445.8,37.8
202004,481,36.7
202005,494.3,36.3
202006,513.2,36.2
202007,552.7,36.2
202008,557.9,35.3
202009,566.2,35.7
202010,555.2,35.7
202011,642,35.9
202012,723.1,36.5
202101,749.5,36.5
202102,760.1,36.6
202103,766.5,35.9
202104,783,35.7
202105,779.4,34.8
202106,799.5,34.7
202107,768,34.1
202108,753.9,32.7
202109,727.2,32.6
202110,701.6,32.5
202111,691.1,33
202112,738.9,33.5
202201,685.7,32.7
202202,687.3,32.4
202203,684.4,31.6
