날짜,외국인순매수
2005 01,8538
2005 02,14654
2005 03,-20741
2005 04,-3243
2005 05,1048
2005 06,450
2005 07,16160
2005 08,-10990
2005 09,-8341
2005 10,-26613
2005 11,134
2005 12,-13293
2006 01,21440
2006 02,-5345
2006 03,-5364
2006 04,4657
2006 05,-35400
2006 06,-26621
2006 07,-15818
2006 08,-24589
2006 09,-15586
2006 10,-6491
2006 11,-16058
2006 12,10133
2007 01,591
2007 02,12392
2007 03,-10795
2007 04,27133
2007 05,1736
2007 06,-35361
2007 07,-48322
2007 09,-19155
2007 10,-21020
2007 11,-67199
2007 12,-24664
2008 02,-20089
2008 03,-30498
2008 04,-11662
2008 05,9215
2008 06,-47683
2008 07,-49436
2008 08,-29999
2008 09,-26698
2008 10,-45869
2008 11,-16437
2008 12,8550
2009 01,7694
2009 02,-8747
2009 03,482
2009 04,40525
2009 05,40767
2009 06,24481
2009 07,58517
2009 08,36431
2009 09,48259
2009 10,14600
2009 11,18277
2009 12,22489
2010 01,6202
2010 02,-182
2010 03,53281
2010 04,51603
2010 05,-62497
2010 06,6848
2010 07,29026
2010 08,-5602
2010 09,42990
2010 10,39434
2010 11,16637
2010 12,36177
2011 01,3147
2011 02,-35092
2011 03,11176
2011 04,31471
2011 05,-25561
2011 06,-7348
2011 07,13951
2011 08,-46018
2011 09,-13131
2011 10,16480
2011 11,-26804
2011 12,-4002
2012 01,62513
2012 02,42678
2012 03,3640
2012 04,-236
2012 05,-39637
2012 06,-9756
2012 07,7187
2012 08,50009
2012 09,32234
2012 10,-11855
2012 11,-5451
2012 12,35557
2013 01,-18941
2013 02,15646
2013 03,-24656
2013 04,-29715
2013 05,7647
2013 06,-49956
2013 07,7984
2013 08,21127
2013 10,46902
2013 11,-1981
2013 12,-17762
2014 01,-16452
2014 02,-7218
2014 03,-11424
2014 04,27460
2014 05,19091
2014 06,10931
2014 07,40659
2014 08,18237
2014 09,-6274
2014 10,-20442
2014 11,15453
2014 12,-23255
2015 01,-10449
2015 02,13278
2015 03,28641
2015 04,46179
2015 05,16637
2015 06,-10508
2015 07,-17997
2015 08,-41081
2015 09,-17654
2015 10,1080
2015 11,-19484
2015 12,-32964
2016 01,-29668
2016 02,2651
2016 03,34190
2016 04,19570
2016 05,1798
2016 06,7893
2016 07,39777
2016 08,10792
2016 09,10816
2016 10,3986
2016 11,-3556
2016 12,10106
2017 01,16395
2017 02,3137
2017 03,35272
2017 04,7591
2017 05,13217
2017 06,16701
2017 07,-5325
2017 08,-18881
2017 09,-16122
2017 10,28466
2017 11,324
2017 12,-17500
2018 01,19567
2018 02,-15569
2018 03,-7467
2018 04,-10440
2018 05,-8098
2018 06,-15799
2018 07,3722
2018 08,16478
2018 09,-3075
2018 10,-39888
2018 11,3536
2018 12,-593
2019 01,40335
2019 02,1350
2019 03,3005
2019 04,23820
2019 05,-24667
2019 06,7083
2019 07,20336
2019 08,-22975
2019 09,-8616
2019 10,-5571
2019 11,-31752
2019 12,6002
2020 01,3199
2020 02,-33083
2020 04,-40957
2020 05,-38833
2020 06,-11992
2020 07,10447
2020 08,-28320
2020 09,-8628
2020 10,-3819
2020 11,49612
2020 12,-17641
2021 01,-52153
2021 02,-20082
2021 03,-12163
2021 04,3856
2021 06,-7000
2021 07,-50722
2021 08,-62400
2021 09,10935
2021 10,-38730
2021 11,25787
2021 12,33524
2022 01,-18614
2022 02,8065
2022 03,-50908
2022 04,-39098
