날짜,외국인순매수,등락률
2005 01,8538,
2005 02,14654,71.63270086671352
2005 03,-20741,-241.53814658113822
2005 04,-3243,-84.36430258907478
2005 05,1048,-132.31575701510948
2005 06,450,-57.06106870229007
2005 07,16160,3491.1111111111113
2005 08,-10990,-168.00742574257427
2005 09,-8341,-24.10373066424022
2005 10,-26613,219.0624625344683
2005 11,134,-100.50351332055763
2005 12,-13293,-10020.149253731342
2006 01,21440,-261.2878958850523
2006 02,-5345,-124.93003731343283
2006 03,-5364,0.35547240411599623
2006 04,4657,-186.81953765846384
2006 05,-35400,-860.1460167489801
2006 06,-26621,-24.79943502824859
2006 07,-15818,-40.58074452499906
2006 08,-24589,55.44948792514857
2006 09,-15586,-36.61393305949815
2006 10,-6491,-58.3536507121776
2006 11,-16058,147.38869203512556
2006 12,10133,-163.10250342508408
2007 01,591,-94.16757130168756
2007 02,12392,1996.7851099830796
2007 03,-10795,-187.1126533247256
2007 04,27133,-351.3478462251042
2007 05,1736,-93.6018870010688
2007 06,-35361,-2136.9239631336404
2007 07,-48322,36.6533751873533
2007 09,-19155,-78.02796545039516
2007 10,-21020,9.73636126337771
2007 11,-67199,219.6907706945766
2007 12,-24664,-63.29707287310823
2008 02,-20089,-76.43574344296908
2008 03,-30498,51.814425805167005
2008 04,-11662,-61.76142697881828
2008 05,9215,-179.01732121419997
2008 06,-47683,-617.4498100922409
2008 07,-49436,3.676362644967808
2008 08,-29999,-39.31750141597217
2008 09,-26698,-11.003700123337444
2008 10,-45869,71.80687691961944
2008 11,-16437,-64.16534042599578
2008 12,8550,-152.0167913852893
2009 01,7694,-10.011695906432747
2009 02,-8747,-213.68598908240187
2009 03,482,-105.51046072939295
2009 04,40525,8307.676348547717
2009 05,40767,0.5971622455274522
2009 06,24481,-39.94897834032428
2009 07,58517,139.03026837139006
2009 08,36431,-37.742878137977
2009 09,48259,32.46685515083308
2009 10,14600,-69.74657576825048
2009 11,18277,25.184931506849317
2009 12,22489,23.04535755320895
2010 01,6202,-72.42207301347325
2010 02,-182,-102.93453724604966
2010 03,53281,-29375.27472527473
2010 04,51603,-3.149340290159719
2010 05,-62497,-221.11117570683874
2010 06,6848,-110.95732595164567
2010 07,29026,323.8609813084112
2010 08,-5602,-119.29993798663267
2010 09,42990,-867.4044983934309
2010 10,39434,-8.271691090951384
2010 11,16637,-57.81051884160876
2010 12,36177,117.44905932559956
2011 01,3147,-91.30110291068911
2011 02,-35092,-1215.0937400699079
2011 03,11176,-131.84771457882138
2011 04,31471,181.59448818897638
2011 05,-25561,-181.22080645673796
2011 06,-7348,-71.25308086538085
2011 07,13951,-289.86118671747414
2011 08,-46018,-429.8544907175112
2011 09,-13131,-71.46551349471946
2011 10,16480,-225.50453126189933
2011 11,-26804,-262.6456310679612
2011 12,-4002,-85.06939262796598
2012 01,62513,-1662.0439780109944
2012 02,42678,-31.729400284740773
2012 03,3640,-91.47101551150476
2012 04,-236,-106.48351648351648
2012 05,-39637,16695.33898305085
2012 06,-9756,-75.38663370083508
2012 07,7187,-173.66748667486675
2012 08,50009,595.8257965771531
2012 09,32234,-35.54360215161271
2012 10,-11855,-136.77793634051002
2012 11,-5451,-54.01940109658372
2012 12,35557,-752.3023298477343
2013 01,-18941,-153.26939843068877
2013 02,15646,-182.60387519138376
2013 03,-24656,-257.5866036047552
2013 04,-29715,20.518332251784553
2013 05,7647,-125.73447753659768
2013 06,-49956,-753.275794429188
2013 07,7984,-115.98206421651054
2013 08,21127,164.61673346693385
2013 10,46902,-37.92254546417132
2013 11,-1981,-104.22370048185579
2013 12,-17762,796.6178697627461
2014 01,-16452,-7.375295574822655
2014 02,-7218,-56.1269146608315
2014 03,-11424,58.27098919368247
2014 04,27460,-340.37114845938373
2014 05,19091,-30.477057538237435
2014 06,10931,-42.742653606411395
2014 07,40659,271.9604793705974
2014 08,18237,-55.14646203792518
2014 09,-6274,-134.40258814497997
2014 10,-20442,225.82084794389544
2014 11,15453,-175.59436454358672
2014 12,-23255,-250.48857826959167
2015 01,-10449,-55.067727370457966
2015 02,13278,-227.0743611828883
2015 03,28641,115.70266606416628
2015 04,46179,61.23389546454383
2015 05,16637,-63.97280148985469
2015 06,-10508,-163.16042555749232
2015 07,-17997,71.26950894556529
2015 08,-41081,128.26582208145803
2015 09,-17654,-57.02636255203135
2015 10,1080,-106.11759374645973
2015 11,-19484,-1904.0740740740741
2015 12,-32964,69.18497228495175
2016 01,-29668,-9.99878655502973
2016 02,2651,-108.93555345827153
2016 03,34190,1189.7019992455678
2016 04,19570,-42.76104124012869
2016 05,1798,-90.81246806336229
2016 06,7893,338.98776418242494
2016 07,39777,403.9528696313189
2016 08,10792,-72.86874324358298
2016 09,10816,0.2223869532987398
2016 10,3986,-63.14718934911243
2016 11,-3556,-189.2122428499749
2016 12,10106,-384.1957255343082
2017 01,16395,62.2303582030477
2017 02,3137,-80.86611771881671
2017 03,35272,1024.3863563914567
2017 04,7591,-78.47867997278294
2017 05,13217,74.11408246607824
2017 06,16701,26.359990920783837
2017 07,-5325,-131.88431830429315
2017 08,-18881,254.57276995305165
2017 09,-16122,-14.612573486573805
2017 10,28466,-276.5661828557251
2017 11,324,-98.86180004215555
2017 12,-17500,-5501.234567901235
2018 01,19567,-211.8114285714286
2018 02,-15569,-179.5676393928553
2018 03,-7467,-52.0393088830368
2018 04,-10440,39.81518682201688
2018 05,-8098,-22.43295019157088
2018 06,-15799,95.09755495183995
2018 07,3722,-123.55845306664979
2018 08,16478,342.7189682966147
2018 09,-3075,-118.66124529675932
2018 10,-39888,1197.1707317073171
2018 11,3536,-108.86482150020056
2018 12,-593,-116.77036199095024
2019 01,40335,-6901.854974704891
2019 02,1350,-96.65303086649311
2019 03,3005,122.59259259259258
2019 04,23820,692.6788685524126
2019 05,-24667,-203.55583543240976
2019 06,7083,-128.71447683139417
2019 07,20336,187.1099816461951
2019 08,-22975,-212.97698662470498
2019 09,-8616,-62.49836779107726
2019 10,-5571,-35.34122562674094
2019 11,-31752,469.951534733441
2019 12,6002,-118.90274628369866
2020 01,3199,-46.70109963345552
2020 02,-33083,-1134.166927164739
2020 04,-40957,-67.28073048563235
2020 05,-38833,-5.185926703615987
2020 06,-11992,-69.11904823217367
2020 07,10447,-187.11641094062708
2020 08,-28320,-371.082607447114
2020 09,-8628,-69.53389830508473
2020 10,-3819,-55.73713490959666
2020 11,49612,-1399.0835297198219
2020 12,-17641,-135.55792953317746
2021 01,-52153,195.6351680743722
2021 02,-20082,-61.49406553793646
2021 03,-12163,-39.433323374165916
2021 04,3856,-131.70270492477187
2021 06,-7000,-91.75607400690134
2021 07,-50722,624.6
2021 08,-62400,23.023540081227083
2021 09,10935,-117.52403846153847
2021 10,-38730,-454.1838134430727
2021 11,25787,-166.581461399432
2021 12,33524,30.003490130686007
2022 01,-18614,-155.52440042954302
2022 02,8065,-143.327602879553
2022 03,-50908,-731.2213267203969
2022 04,-39098,-23.19871140095859
