,년도,월,개인순매수,기관순매수
0,2005 ,01,-9523,984
1,2005 ,02,-5725,-8928
2,2005 ,03,3820,16920
3,2005 ,04,2291,955
4,2005 ,05,-18304,17254
5,2005 ,06,-14577,14126
6,2005 ,07,-19173,3011
7,2005 ,08,-2986,13974
8,2005 ,09,-9101,17440
9,2005 ,10,7244,18492
10,2005 ,11,-18263,18131
11,2005 ,12,-3516,16809
12,2006 ,01,-17846,-3596
13,2006 ,02,-3174,8520
14,2006 ,03,-3890,9254
15,2006 ,04,-10409,5753
16,2006 ,05,11266,24132
17,2006 ,06,2914,23708
18,2006 ,07,355,15462
19,2006 ,08,-6981,31567
20,2006 ,09,-3994,19578
21,2006 ,10,-217,11450
22,2006 ,11,3564,12492
23,2006 ,12,-95,-10039
24,2007 ,01,7542,-8134
25,2007 ,02,-8558,-3835
26,2007 ,03,3644,7150
27,2007 ,04,111,-27248
28,2007 ,05,7377,-9109
29,2007 ,06,6185,29176
30,2007 ,07,7621,32275
31,2007 ,08,2310,64091
32,2007 ,09,5695,9984
33,2007 ,10,15455,11589
34,2007 ,11,12855,50180
35,2007 ,12,1665,23000
36,2008 ,01,17501,67751
37,2008 ,02,2560,17529
38,2008 ,03,1574,28923
39,2008 ,04,-9464,21122
40,2008 ,05,8616,-13858
41,2008 ,06,18224,29455
42,2008 ,07,-390,49827
43,2008 ,08,-334,30335
44,2008 ,09,2577,26592
45,2008 ,10,18798,22126
46,2008 ,11,3547,12890
47,2008 ,12,-3882,-162
48,2009 ,01,17932,-11171
49,2009 ,02,22555,-13684
50,2009 ,03,-6765,12080
51,2009 ,04,13016,-46933
52,2009 ,05,14219,-51594
53,2009 ,06,11611,-30416
54,2009 ,07,-32884,-19428
55,2009 ,08,12095,-43969
56,2009 ,09,14217,-45472
57,2009 ,10,6234,-20840
58,2009 ,11,-2373,-10128
59,2009 ,12,-20679,8251
60,2010 ,01,907,-12202
61,2010 ,02,-1672,1434
62,2010 ,03,-26628,-12432
63,2010 ,04,-208,-41871
64,2010 ,05,34272,18285
65,2010 ,06,-9329,5705
66,2010 ,07,-6787,-10480
67,2010 ,08,3411,-1146
68,2010 ,09,-22749,-15688
69,2010 ,10,4192,-28729
70,2010 ,11,-12800,1804
71,2010 ,12,-5537,-21957
72,2011 ,01,7410,-7209
73,2011 ,02,8750,15115
74,2011 ,03,-25066,6943
75,2011 ,04,9430,-37998
76,2011 ,05,21369,852
77,2011 ,06,-6242,10192
78,2011 ,07,-2265,1894
79,2011 ,08,-4274,17507
80,2011 ,09,-10516,20711
81,2011 ,10,-8272,6197
82,2011 ,11,11962,12728
83,2011 ,12,-7328,17707
84,2012 ,01,-21043,-3940
85,2012 ,02,-5300,-25158
86,2012 ,03,14254,-13693
