,날짜,종가,전월대비 등락률,년도,월,date,외국인순매수
0,2005-01-31,932.7000122070312,0.04105277256897947,2005 ,01,2005 01,8538
1,2005-02-28,1011.3599853515625,0.08433576939534886,2005 ,02,2005 02,14654
2,2005-03-31,965.6799926757812,-0.04516689738313333,2005 ,03,2005 03,-20741
3,2005-04-29,911.2999877929688,-0.05631265563671062,2005 ,04,2005 04,-3243
4,2005-05-31,970.2100219726562,0.06464395365828844,2005 ,05,2005 05,1048
5,2005-06-30,1008.1599731445312,0.03911519187846996,2005 ,06,2005 06,450
6,2005-07-29,1111.2900390625,0.10229533870135496,2005 ,07,2005 07,16160
7,2005-08-31,1083.3299560546875,-0.025160023058786726,2005 ,08,2005 08,-10990
8,2005-09-30,1221.010009765625,0.1270896765490968,2005 ,09,2005 09,-8341
9,2005-10-31,1158.1099853515625,-0.051514749192053115,2005 ,10,2005 10,-26613
10,2005-11-30,1297.43994140625,0.12030805175416194,2005 ,11,2005 11,134
11,2005-12-29,1379.3699951171875,0.0631474730322672,2005 ,12,2005 12,-13293
12,2006-01-31,1399.8299560546875,0.014832830212289616,2006 ,01,2006 01,14959
13,2006-02-28,1371.5899658203125,-0.020173871913676734,2006 ,02,2006 02,-5345
14,2006-03-31,1359.5999755859375,-0.008741672462734952,2006 ,03,2006 03,-5364
15,2006-04-28,1419.72998046875,0.04422624739817216,2006 ,04,2006 04,2614
16,2006-05-30,1317.699951171875,-0.07186579891986779,2006 ,05,2006 05,-28719
17,2006-06-30,1295.1500244140625,-0.01711309675450628,2006 ,06,2006 06,-26621
18,2006-07-31,1297.8199462890625,0.002061476913616935,2006 ,07,2006 07,-15818
19,2006-08-31,1352.739990234375,0.042317152007371135,2006 ,08,2006 08,-24589
20,2006-09-29,1371.4100341796875,0.013801650043684846,2006 ,09,2006 09,-15586
21,2006-10-31,1364.550048828125,-0.005002140264830291,2006 ,10,2006 10,-6491
22,2006-11-30,1432.2099609375,0.049584045794055925,2006 ,11,2006 11,-16058
23,2006-12-28,1434.4599609375,0.0015709987092445501,2006 ,12,2006 12,2377
24,2007-01-31,1360.22998046875,-0.05174768379051622,2007 ,01,2007 01,591
25,2007-02-28,1417.3399658203125,0.04198553639575109,2007 ,02,2007 02,12392
26,2007-03-30,1452.550048828125,0.02484236940812855,2007 ,03,2007 03,-10795
27,2007-04-30,1542.239990234375,0.06174654118018806,2007 ,04,2007 04,27133
28,2007-05-31,1700.9100341796875,0.10288284894052016,2007 ,05,2007 05,1736
29,2007-06-29,1743.5999755859375,0.02509829476480127,2007 ,06,2007 06,-35361
30,2007-07-31,1933.27001953125,0.1087807103699768,2007 ,07,2007 07,-20944
31,2007-08-31,1873.239990234375,-0.031051032028847254,2007 ,08,2007 08,-61168
32,2007-09-28,1946.47998046875,0.03909802834457501,2007 ,09,2007 09,-19155
33,2007-10-31,2064.85009765625,0.06081239898444483,2007 ,10,2007 10,-27040
34,2007-11-30,1906.0,-0.07693057129743028,2007 ,11,2007 11,-30508
35,2007-12-28,1897.1300048828125,-0.004653722516887461,2007 ,12,2007 12,-18414
36,2008-01-31,1624.6800537109375,-0.14361163993540046,2008 ,01,2008 01,-49763
37,2008-02-29,1711.6199951171875,0.05351203839037118,2008 ,02,2008 02,-20089
38,2008-03-31,1703.989990234375,-0.0044577680236144385,2008 ,03,2008 03,-16305
39,2008-04-30,1825.469970703125,0.07129148713604888,2008 ,04,2008 04,-11662
40,2008-05-30,1852.02001953125,0.014544226557667553,2008 ,05,2008 05,9215
41,2008-06-30,1674.9200439453125,-0.09562530303034297,2008 ,06,2008 06,-37993
42,2008-07-31,1594.6700439453125,-0.047912734873581955,2008 ,07,2008 07,-49436
43,2008-08-29,1474.239990234375,-0.07552035868999338,2008 ,08,2008 08,-29999
44,2008-09-30,1448.06005859375,-0.017758256331428718,2008 ,09,2008 09,-20644
45,2008-10-31,1113.06005859375,-0.2313439957216467,2008 ,10,2008 10,-39671
46,2008-11-28,1076.0699462890625,-0.0332328089747656,2008 ,11,2008 11,-16437
47,2008-12-30,1124.469970703125,0.04497851146291646,2008 ,12,2008 12,8550
48,2009-01-30,1162.1099853515625,0.03347356143703989,2009 ,01,2009 01,2088
49,2009-02-27,1063.030029296875,-0.08525867370867977,2009 ,02,2009 02,-8747
50,2009-03-31,1206.260009765625,0.13473747356270574,2009 ,03,2009 03,2047
51,2009-04-30,1369.3599853515625,0.13521129297623624,2009 ,04,2009 04,34788
52,2009-05-29,1395.8900146484375,0.019374035739815935,2009 ,05,2009 05,40767
53,2009-06-30,1390.0699462890625,-0.004169431902441695,2009 ,06,2009 06,17465
54,2009-07-31,1557.2900390625,0.12029617158463793,2009 ,07,2009 07,58517
55,2009-08-31,1591.8499755859375,0.0221923570154233,2009 ,08,2009 08,36431
56,2009-09-30,1673.1400146484375,0.051066394640976315,2009 ,09,2009 09,11410
