,날짜,외국인순매수,전월대비 등락률
0,2005 01,8538,0.04105277256897947
1,2005 02,14654,0.0843357693953488
2,2005 03,-20741,-0.0451668973831333
3,2005 04,-3243,-0.0563126556367106
4,2005 05,1048,0.0646439536582884
5,2005 06,450,0.0391151918784699
6,2005 07,16160,0.1022953387013549
7,2005 08,-10990,-0.0251600230587867
8,2005 09,-8341,0.1270896765490968
9,2005 10,-26613,-0.0515147491920531
10,2005 11,134,0.1203080517541619
11,2005 12,-13293,0.0631474730322672
12,2006 01,14959,0.0148328302122896
13,2006 02,-5345,-0.0201738719136767
14,2006 03,-5364,-0.0087416724627349
15,2006 04,2614,0.0442262473981721
16,2006 05,-28719,-0.0718657989198677
17,2006 06,-26621,-0.0171130967545062
18,2006 07,-15818,0.0020614769136169
19,2006 08,-24589,0.0423171520073711
20,2006 09,-15586,0.0138016500436848
21,2006 10,-6491,-0.0050021402648302
22,2006 11,-16058,0.0495840457940559
23,2006 12,2377,0.0015709987092445
24,2007 01,591,-0.0517476837905162
25,2007 02,12392,0.041985536395751
26,2007 03,-10795,0.0248423694081285
27,2007 04,27133,0.061746541180188
28,2007 05,1736,0.1028828489405201
29,2007 06,-35361,0.0250982947648012
30,2007 07,-20944,0.1087807103699768
31,2007 08,-61168,-0.0310510320288472
32,2007 09,-19155,0.039098028344575
33,2007 10,-27040,0.0608123989844448
34,2007 11,-30508,-0.0769305712974302
35,2007 12,-18414,-0.0046537225168874
36,2008 01,-49763,-0.1436116399354004
37,2008 02,-20089,0.0535120383903711
38,2008 03,-16305,-0.0044577680236144
39,2008 04,-11662,0.0712914871360488
40,2008 05,9215,0.0145442265576675
41,2008 06,-37993,-0.0956253030303429
42,2008 07,-49436,-0.0479127348735819
43,2008 08,-29999,-0.0755203586899933
44,2008 09,-20644,-0.0177582563314287
45,2008 10,-39671,-0.2313439957216467
46,2008 11,-16437,-0.0332328089747656
47,2008 12,8550,0.0449785114629164
48,2009 01,2088,0.0334735614370398
49,2009 02,-8747,-0.0852586737086797
50,2009 03,2047,0.1347374735627057
51,2009 04,34788,0.1352112929762362
52,2009 05,40767,0.0193740357398159
53,2009 06,17465,-0.0041694319024416
54,2009 07,58517,0.1202961715846379
55,2009 08,36431,0.0221923570154233
56,2009 09,11410,0.0510663946409763
57,2009 10,14600,-0.0552554313642503
58,2009 11,11549,-0.0158727940015809
59,2009 12,22489,0.081749836681125
60,2010 01,6202,-0.0477426890708998
61,2010 02,-182,-0.0048988707108123
62,2010 03,46714,0.0616275271478953
63,2010 04,39151,0.0287740105208984
64,2010 05,-23169,-0.057597817599668
65,2010 06,6848,0.0347540222772277
66,2010 07,14155,0.0359419861084995
67,2010 08,-5602,-0.0094240173638992
68,2010 09,30395,0.0746292116446707
69,2010 10,18822,0.0054142664022953
70,2010 11,12884,0.0115138767748153
71,2010 12,36177,0.0768495690721796
72,2011 01,10143,0.009132121145173
73,2011 02,-17947,-0.0630178491259451
74,2011 03,16054,0.0863197535857878
75,2011 04,8964,0.0406608241493291
76,2011 05,-9220,-0.0227563603943782
77,2011 06,-752,-0.0195008704290793
78,2011 07,-3231,0.0154806375230608
79,2011 08,-20552,-0.1186474750355588
80,2011 09,-10460,-0.0587518612198876
81,2011 10,16480,0.0787613386601465
82,2011 11,-26804,-0.0322257997973498
83,2011 12,-10281,-0.0117834379333142
84,2012 01,25228,0.071231418232467
85,2012 02,32583,0.0380715513681581
86,2012 03,3640,-0.007984219154045
87,2012 04,-236,-0.0159133126484634
88,2012 05,-39637,-0.0698893638281542
89,2012 06,-9756,0.0057174997314872
90,2012 07,1034,0.0150916016210112
91,2012 08,20461,0.0122901848590236
92,2012 09,19508,0.0478132432884939
93,2012 10,-11855,-0.0421548354083103
94,2012 11,-5451,0.0108992213537683
95,2012 12,35557,0.0331884854900909
96,2013 01,-18941,-0.0175809852349357
97,2013 02,9849,0.0329011339571678
98,2013 03,-24656,-0.0106588118816413
99,2013 04,-22911,-0.0204201044333803
100,2013 05,7647,0.0188905514797424
101,2013 06,-23130,-0.068828914409073
102,2013 07,7984,0.0272149091243322
103,2013 08,21127,0.0064418822411145
104,2013 09,40919,0.0366494196945504
105,2013 10,40980,0.0165902198996815
106,2013 11,-1981,0.0072804799519821
107,2013 12,-11634,-0.016397144746091
108,2014 01,-16452,-0.0348971047157726
109,2014 02,-702,0.0200087398355706
110,2014 03,-11424,0.0028383957216481
111,2014 04,27460,-0.0119962865138619
112,2014 05,19091,0.0169079877125134
113,2014 06,10931,0.0036341581495164
114,2014 07,34424,0.0369142885571265
115,2014 08,18237,-0.0036510787898287
116,2014 09,-6274,-0.023422352155265
117,2014 10,-20442,-0.0275531847844077
118,2014 11,15453,0.0083230123439881
119,2014 12,-16187,-0.0329113089350478
120,2015 01,-10449,0.0175768533695017
121,2015 02,13278,0.0187455951896809
122,2015 03,28641,0.0278124580072111
123,2015 04,38748,0.0422041279852211
124,2015 05,16637,-0.0058151786181573
125,2015 06,-10508,-0.0191980786451881
126,2015 07,-17997,-0.0212322428063437
127,2015 08,-33790,-0.0436763813948001
128,2015 09,-17654,0.0109812919286806
129,2015 10,1080,0.0339614685677397
130,2015 11,-19484,-0.0184777309057733
131,2015 12,-32964,-0.0153917541731578
132,2016 01,-29668,-0.0251107670529727
133,2016 02,2651,0.0024057694031434
134,2016 03,20323,0.0413166341417154
