,날짜,종가,전월대비 등락률,외국인순매수,개인순매수,기관순매수,시가총액대비,환율,환율 차분
0,2005-01-01,932.7000122070312,0.0410527725689794,8538,-9523,984,42.9,1025.4100341796875,0.022750906189927964
1,2005-02-01,1011.3599853515624,0.0843357693953488,14654,-5725,-8928,42.7,1003.7999877929688,-0.021074541565225133
2,2005-03-01,965.6799926757812,-0.0451668973831333,-20741,3820,16920,42.2,1017.0,0.01315004220716699
3,2005-04-01,911.2999877929688,-0.0563126556367106,-3243,2291,955,41.9,996.6599731445312,-0.020000026406557278
4,2005-05-01,970.2100219726562,0.0646439536582884,1048,-18304,17254,41.7,1007.0,0.010374678560477602
5,2005-06-01,1008.1599731445312,0.0391151918784699,450,-14577,14126,41.5,1033.800048828125,0.026613752560203575
6,2005-07-01,1111.2900390625,0.1022953387013549,16160,-19173,3011,41.9,1023.0,-0.010446941688934442
7,2005-08-01,1083.3299560546875,-0.0251600230587867,-10990,-2986,13974,41.9,1039.5,0.016129032258064516
8,2005-09-01,1221.010009765625,0.1270896765490968,-8341,-9101,17440,41.4,1032.0999755859375,-0.00711883060515873
9,2005-10-01,1158.1099853515625,-0.0515147491920531,-26613,7244,18492,40.8,1044.0999755859375,0.01162678062576974
10,2005-11-01,1297.43994140625,0.1203080517541619,134,-18263,18131,40.3,1019.0999755859376,-0.023944067220162665
11,2005-12-01,1379.3699951171875,0.0631474730322672,-13293,-3516,16809,39.8,999.7000122070312,-0.019036369192092503
12,2006-01-01,1399.8299560546875,0.0148328302122896,14959,-17846,3597,40.8,948.0800170898438,-0.051635485132411243
13,2006-02-01,1371.5899658203125,-0.0201738719136767,-5345,-3174,8520,40.1,952.760009765625,0.004936284481711374
14,2006-03-01,1359.5999755859375,-0.0087416724627349,-5364,-3890,9254,40.3,964.0900268554688,0.01189178489201167
15,2006-04-01,1419.72998046875,0.0442262473981721,2614,-10409,9571,39.9,922.469970703125,-0.0431703004833419
16,2006-05-01,1317.699951171875,-0.0718657989198677,-28719,11266,16959,39.7,937.030029296875,0.015783775143002252
17,2006-06-01,1295.1500244140625,-0.0171130967545062,-26621,2914,23708,39.4,936.4600219726562,-0.0006083127609543846
18,2006-07-01,1297.8199462890625,0.0020614769136169,-15818,355,15462,39.1,941.9500122070312,0.005862492904726799
19,2006-08-01,1352.739990234375,0.0423171520073711,-24589,-6981,31567,38.1,950.1500244140624,0.00870535814084034
20,2006-09-01,1371.4100341796875,0.0138016500436848,-15586,-3994,19578,37.7,936.3800048828124,-0.014492468744335067
21,2006-10-01,1364.550048828125,-0.0050021402648302,-6491,-217,12729,37.5,925.1500244140624,-0.011992973376396933
22,2006-11-01,1432.2099609375,0.0495840457940559,-16058,3564,12492,37.1,919.8099975585938,-0.005772065842889327
23,2006-12-01,1434.4599609375,0.0015709987092445,2377,-95,-3397,37.2,917.010009765625,-0.0030440936719546637
24,2007-01-01,1360.22998046875,-0.0517476837905162,591,7542,-8134,39.9,924.0399780273438,0.007666184869143917
25,2007-02-01,1417.3399658203125,0.041985536395751,12392,-8558,-3835,40.2,928.5999755859376,0.0049348487803835325
26,2007-03-01,1452.550048828125,0.0248423694081285,-10795,3644,7150,39.9,932.3599853515624,0.004049116804307735
27,2007-04-01,1542.239990234375,0.061746541180188,27133,111,-27248,39.6,930.5499877929688,-0.0019413076354956884
28,2007-05-01,1700.9100341796875,0.1028828489405201,1736,7377,-9109,38.3,931.4099731445312,0.0009241688924226087
29,2007-06-01,1743.5999755859375,0.0250982947648012,-35361,6185,19920,37.8,921.5599975585938,-0.010575338325703147
30,2007-07-01,1933.27001953125,0.1087807103699768,-20944,7621,33562,36.6,920.4400024414062,-0.0012153252312975852
