,날짜,date,종가,전월대비 등락률,외국인순매수,개인순매수,기관순매수,시가총액대비,label,등락률label,년도_2005,년도_2006,년도_2007,년도_2008,년도_2009,년도_2010,년도_2011,년도_2012,년도_2013,년도_2014,년도_2015,년도_2016,년도_2017,년도_2018,년도_2019,년도_2020,년도_2021,년도_2022,월_1,월_2,월_3,월_4,월_5,월_6,월_7,월_8,월_9,월_10,월_11,월_12
0,2005-01-31,2005-01-01,932.7000122070312,0.0410527725689794,8538,-9523,984,42.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2005-02-28,2005-02-01,1011.3599853515624,0.0843357693953488,14654,-5725,-8928,42.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2005-03-31,2005-03-01,965.6799926757812,-0.0451668973831333,-20741,3820,16920,42.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,2005-04-29,2005-04-01,911.2999877929688,-0.0563126556367106,-3243,2291,955,41.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,2005-05-31,2005-05-01,970.2100219726562,0.0646439536582884,1048,-18304,17254,41.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2005-06-30,2005-06-01,1008.1599731445312,0.0391151918784699,450,-14577,14126,41.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,2005-07-29,2005-07-01,1111.2900390625,0.1022953387013549,16160,-19173,3011,41.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2005-08-31,2005-08-01,1083.3299560546875,-0.0251600230587867,-10990,-2986,13974,41.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,2005-09-30,2005-09-01,1221.010009765625,0.1270896765490968,-8341,-9101,17440,41.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,2005-10-31,2005-10-01,1158.1099853515625,-0.0515147491920531,-26613,7244,18492,40.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,2005-11-30,2005-11-01,1297.43994140625,0.1203080517541619,134,-18263,18131,40.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,2005-12-29,2005-12-01,1379.3699951171875,0.0631474730322672,-13293,-3516,16809,39.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,2006-01-31,2006-01-01,1399.8299560546875,0.0148328302122896,14959,-17846,-3596,40.8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2006-02-28,2006-02-01,1371.5899658203125,-0.0201738719136767,-5345,-3174,8520,40.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,2006-03-31,2006-03-01,1359.5999755859375,-0.0087416724627349,-5364,-3890,9254,40.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,2006-04-28,2006-04-01,1419.72998046875,0.0442262473981721,2614,-10409,5753,39.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,2006-05-30,2006-05-01,1317.699951171875,-0.0718657989198677,-28719,11266,24132,39.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,2006-06-30,2006-06-01,1295.1500244140625,-0.0171130967545062,-26621,2914,23708,39.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
